step,agent_id,cumulative_interest,repository_size,k_value,boredom_triggered,num_self_evals,num_other_evals,num_shares,num_domain_adoptions,avg_novelty_generated,avg_interest_generated
20,9,0.6282698470718833,29,15,False,21,10,9,1,0.43112970233933107,0.6054440472380337
20,10,0.5002748575488678,39,15,False,21,13,1,3,0.41016139136329355,0.28088014149732005
20,11,0.6714448253867036,32,15,False,21,14,8,3,0.45378381309718857,0.571892906148242
20,12,0.7761022002807796,27,15,False,21,6,9,1,0.4628058404441144,0.6446053735955902
20,13,0.747365716959721,40,15,False,21,16,8,4,0.407034001804671,0.5295638532255001
20,14,0.6253066479483121,36,15,False,21,15,2,4,0.40113921968496524,0.447666513594193
20,15,0.3252010412050642,31,15,False,21,11,3,2,0.47345582874287134,0.37091218362809797
20,16,0.7114094513482193,39,15,False,21,15,7,5,0.4924369709336639,0.47580945999270435
20,17,0.5482486015390058,35,15,False,21,13,1,3,0.4119162053288962,0.3726048234050331
20,18,0.7071240949902651,42,15,False,21,17,9,7,0.5441175236099706,0.46477333294703227
20,19,0.3972726761878618,45,15,False,21,15,4,6,0.5299517943843338,0.3174817032600926
30,0,0.46288508122301647,50,15,False,31,19,5,5,0.4776598462102978,0.4183313646732003
30,1,0.5629626872548468,44,15,False,31,15,3,6,0.3920927357503248,0.4171912391680391
30,2,0.7481170873238531,52,15,False,31,18,16,9,0.4023836102886591,0.5807083747644639
30,3,0.5546399436078773,62,15,False,31,30,5,7,0.4764269498831595,0.4058874284904483
30,4,0.3313464978213613,64,15,False,31,18,2,3,0.48503993243472054,0.2919214889554832
30,5,0.386083677147046,62,15,False,31,28,4,8,0.429427041857341,0.3436283599185119
30,6,0.6066817094072573,56,15,False,31,25,4,7,0.4287934022876283,0.4585503685396722
30,7,0.7184621709627947,61,15,False,31,25,6,13,0.4336251328592377,0.42375927122532764
30,8,0.6098377577573157,53,15,False,31,21,5,6,0.4705968546971024,0.43929479110084024
30,9,0.6411925998346933,47,15,False,31,18,9,1,0.378202406409443,0.6029915181814849
30,10,0.18779686632563053,58,15,False,31,17,1,3,0.3720803168814446,0.2706968079677751
30,11,0.7202379413309994,45,15,False,31,18,12,4,0.400058710911233,0.5682695024832328
