Source,Target,Weight,Type
74,70,0.7688,Directed
74,61,1.5913,Directed
78,61,0.7759,Directed
74,79,1.4898,Directed
72,53,0.7880,Directed
53,60,0.7162,Directed
61,80,1.6409,Directed
59,61,0.7446,Directed
72,66,0.7987,Directed
73,53,0.7937,Directed
73,59,0.7937,Directed
61,67,0.7474,Directed
77,59,1.5345,Directed
76,59,0.7328,Directed
81,60,0.7969,Directed
81,66,0.7986,Directed
77,79,1.5452,Directed
59,73,1.5997,Directed
74,60,0.7748,Directed
81,80,0.8083,Directed
77,53,0.7727,Directed
77,60,0.7793,Directed
76,66,1.5599,Directed
79,80,2.3197,Directed
77,70,0.7512,Directed
77,82,0.8499,Directed
74,82,2.2592,Directed
82,71,0.7999,Directed
80,76,0.7956,Directed
70,73,0.7885,Directed
73,76,0.7792,Directed
79,73,1.5849,Directed
79,77,0.7967,Directed
79,66,0.7861,Directed
74,80,1.5373,Directed
78,81,1.5268,Directed
62,76,0.7559,Directed
78,86,1.5138,Directed
81,59,0.8002,Directed
79,74,0.7607,Directed
70,79,0.7290,Directed
76,77,0.7635,Directed
75,71,0.7985,Directed
59,76,0.7508,Directed
80,84,0.8003,Directed
59,88,0.8493,Directed
71,81,0.7688,Directed
74,76,1.5674,Directed
73,78,0.7465,Directed
80,73,0.7834,Directed
70,76,0.7931,Directed
79,76,0.7995,Directed
73,80,0.7658,Directed
59,70,0.7816,Directed
89,70,0.7697,Directed
81,70,0.7999,Directed
86,59,0.7979,Directed
79,90,0.7760,Directed
76,71,0.7928,Directed
79,82,0.7711,Directed
89,85,0.8003,Directed
84,81,0.7452,Directed
74,77,0.7763,Directed
90,83,0.8005,Directed
85,82,0.7584,Directed
78,73,0.7983,Directed
81,82,0.7709,Directed
90,82,0.7389,Directed
83,74,0.7996,Directed
83,84,0.7451,Directed
76,81,0.7926,Directed
76,91,0.7479,Directed
81,89,0.8004,Directed
91,88,0.6818,Directed
91,74,0.7016,Directed
74,89,0.6912,Directed
78,89,0.6969,Directed
76,74,0.7371,Directed
73,89,0.7987,Directed
74,91,0.7425,Directed
74,88,0.7166,Directed
77,73,0.8003,Directed
82,88,0.7862,Directed
82,89,0.6946,Directed
89,79,1.5628,Directed
77,90,0.7895,Directed
77,74,0.7856,Directed
82,86,0.7727,Directed
89,90,1.5271,Directed
89,88,0.7888,Directed
78,88,0.6993,Directed
79,81,0.7917,Directed
79,92,0.7781,Directed
79,86,0.7913,Directed
91,85,0.7699,Directed
77,86,0.7871,Directed
89,78,0.7996,Directed
81,92,0.7704,Directed
