Source,Target,Weight,Type
70,65,0.7854,Directed
72,57,0.7704,Directed
57,72,0.7467,Directed
74,61,1.4217,Directed
72,60,0.7995,Directed
77,62,1.4413,Directed
79,70,0.7993,Directed
79,80,0.8798,Directed
59,77,0.7564,Directed
74,79,1.5753,Directed
76,53,0.7996,Directed
67,62,0.7599,Directed
62,61,0.7312,Directed
74,60,0.7932,Directed
73,61,0.7285,Directed
77,66,0.7006,Directed
79,66,1.5302,Directed
59,79,0.7421,Directed
62,59,0.7308,Directed
70,53,0.6995,Directed
74,75,0.7444,Directed
76,67,1.5640,Directed
73,76,0.7640,Directed
73,79,0.7977,Directed
59,76,0.7880,Directed
63,80,0.8284,Directed
72,76,0.7887,Directed
81,62,0.7188,Directed
76,60,1.5229,Directed
53,79,0.7995,Directed
79,73,1.5031,Directed
71,79,0.7849,Directed
74,73,1.5296,Directed
76,73,0.7961,Directed
61,81,0.7645,Directed
60,81,0.7612,Directed
60,59,0.7865,Directed
82,79,1.5029,Directed
80,73,0.7770,Directed
81,78,0.7988,Directed
74,76,1.5334,Directed
81,71,0.7546,Directed
81,70,0.7993,Directed
79,76,3.1095,Directed
74,86,0.8847,Directed
80,87,0.7912,Directed
79,59,0.7899,Directed
78,73,0.7335,Directed
78,59,0.7561,Directed
71,77,0.7454,Directed
76,81,0.7343,Directed
79,77,0.7923,Directed
82,80,0.7982,Directed
59,71,0.7994,Directed
59,78,0.7933,Directed
62,81,0.7822,Directed
83,74,0.7821,Directed
79,82,0.7547,Directed
71,84,0.8004,Directed
77,84,0.7343,Directed
71,76,0.6994,Directed
74,85,0.7541,Directed
74,89,1.5914,Directed
76,59,0.7587,Directed
91,89,0.8459,Directed
91,81,0.7949,Directed
91,87,0.7642,Directed
74,81,0.7026,Directed
78,76,0.7530,Directed
76,82,0.7493,Directed
89,90,0.7380,Directed
89,82,1.5335,Directed
70,79,0.7896,Directed
74,84,1.5371,Directed
81,87,0.7362,Directed
90,74,1.4615,Directed
70,73,0.7065,Directed
70,90,0.8715,Directed
78,84,0.7998,Directed
86,82,0.7713,Directed
77,73,0.7855,Directed
76,78,0.7676,Directed
73,74,0.7358,Directed
87,81,0.7391,Directed
89,73,0.7987,Directed
90,89,0.7760,Directed
88,79,0.7153,Directed
84,90,0.7574,Directed
76,90,0.7930,Directed
76,77,0.7359,Directed
76,79,0.8002,Directed
91,76,0.7918,Directed
74,90,0.7120,Directed
73,84,0.7960,Directed
81,86,1.4968,Directed
73,85,0.7847,Directed
83,90,0.7403,Directed
77,74,0.7811,Directed
88,82,0.7006,Directed
88,85,0.7810,Directed
73,82,0.7115,Directed
81,90,0.7597,Directed
86,78,0.7549,Directed
85,86,0.7747,Directed
89,76,0.8003,Directed
74,77,0.7849,Directed
73,81,0.7635,Directed
79,95,0.7630,Directed
87,79,0.7718,Directed
82,86,0.7997,Directed
85,78,0.7926,Directed
86,77,0.7988,Directed
79,89,0.7538,Directed
98,89,0.6923,Directed
98,92,0.6859,Directed
98,84,0.7887,Directed
77,85,0.7700,Directed
100,78,0.7965,Directed
